Фамилия Имя Отчество Дата рождения	Текущее подразделение 	Текущая должность	Дипранг
АЗИМОВ АНВАР САРВАРОВИЧ 22.11.1950	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 05.09.2011 	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 17.11.2009
АЛЕКСЕЕВ АЛЕКСАНДР НИКОЛАЕВИЧ 05.02.1951	ПОСОЛЬСТВО РОССИИ В ПОЛЬШЕ 21.06.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 25.08.2004
АЛЕКСЕЕВ АЛЕКСАНДР ЮРЬЕВИЧ 20.08.1946	ПОСТПРЕДСТВО РОССИИ ПРИ СОВЕТЕ ЕВРОПЫ В СТРАСБУРГЕ 05.02.2007 	ПОСТОЯННЫЙ ПРЕДСТАВИТЕЛЬ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 30.08.1996
АНДРЕЕВ СЕРГЕЙ ВАДИМОВИЧ 26.06.1958	ГЕНСЕКРЕТАРИАТ (ДЕПАРТАМЕНТ) 08.10.2010 	ДИРЕКТОР ДЕПАРТАМЕНТА 	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 28.12.2004
АФАНАСЬЕВ ЕВГЕНИЙ ВЛАДИМИРОВИЧ 25.05.1947	ПОСОЛЬСТВО РОССИИ В ЯПОНИИ 20.02.2012	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 03.06.1997
АХМЕДОВ СТАНИСЛАВ АНВАРОВИЧ 01.04.1952	ДЕПАРТАМЕНТ АФРИКИ 04.03.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 29.10.2008
БЕЛОУС ОЛЕГ НИКОЛАЕВИЧ 18.08.1951	ПЕРВЫЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 19.08.2011 	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 24.01.2000
БЕЛЫЙ МИХАИЛ МИХАЙЛОВИЧ 20.10.1945			ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 06.08.1994
БЕРДЕННИКОВ ГРИГОРИЙ ВИТАЛЬЕВИЧ 24.12.1950	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 25.12.2010 	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 05.06.1992
БЛОХИН АЛЕКСАНДР ВИКТОРОВИЧ 12.01.1951	ПОСОЛЬСТВО РОССИИ В ТУРКМЕНИСТАНЕ 05.05.2011 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 29.10.1996
БОГДАНОВ МИХАИЛ ЛЕОНИДОВИЧ 02.03.1952	 РУКОВОДСТВО 12.06.2011 	ЗАМ.МИНИСТРА ИНОСТРАННЫХ ДЕЛ РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 31.01.2001
БОЛОТИН БОРИС ФЕДОРОВИЧ 15.10.1950	ПОСОЛЬСТВО РОССИИ В МАРОККО 27.08.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 08.11.2010
БОРОДАВКИН АЛЕКСЕЙ НИКОЛАЕВИЧ 10.12.1950	ПОСТПРЕДСТВО РОССИИ ПРИ ПРИ ОТД.ООН И ДР.МО В ЖЕНЕВЕ  05.12.2011 	ПОСТПРЕД	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 28.09.2004
БОЧАРНИКОВ МИХАИЛ НИКОЛАЕВИЧ 06.03.1948	ПОСОЛЬСТВО РОССИИ В КАЗАХСТАНЕ 10.12.2006 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 16.04.1997
БРАТЧИКОВ ИГОРЬ БОРИСОВИЧ 30.09.1956	ПОСОЛЬСТВО РОССИИ В ШВЕЙЦАРИИ 11.10.2007 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 29.12.2005
БУКИН СЕРГЕЙ НИКОЛАЕВИЧ 15.12.1950	ДЕПАРТАМЕНТ БЛИЖНЕГО ВОСТОКА И СЕВЕРНОЙ АФРИКИ 16.12.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 14.03.2006
БУРЛЯЙ ЯН АНАСТАСЬЕВИЧ 01.01.1947	ПОСОЛЬСТВО РОССИИ В ЭКВАДОРЕ 21.10.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 13.10.1992
ВАНИН МИХАИЛ ВАЛЕНТИНОВИЧ 01.08.1960	 РУКОВОДСТВО 23.09.2009 	ГЕН. ДИРЕКТОР МИД РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 10.01.2006
ВЕРШИНИН СЕРГЕЙ ВАСИЛЬЕВИЧ 24.07.1954	ДЕПАРТАМЕНТ БЛИЖНЕГО ВОСТОКА И СЕВЕРНОЙ АФРИКИ 10.08.2011 	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 29.08.2007
ВЕШНЯКОВ АЛЕКСАНДР АЛЬБЕРТОВИЧ 24.11.1952	ПОСОЛЬСТВО РОССИИ В ЛАТВИИ 11.01.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 29.04.2009
ВЛАДИМИР НИКОЛАЙ МИХАЙЛОВИЧ 06.12.1947	ПОСОЛЬСТВО РОССИИ В НИКАРАГУА 14.11.2007 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 11.02.2008
ВЛАСОВ ВАЛЕНТИН СТЕПАНОВИЧ 20.08.1946	ПОСОЛЬСТВО РОССИИ В КИРГИЗИИ 16.01.2007 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 28.12.2004
ВНУКОВ КОНСТАНТИН ВАСИЛЬЕВИЧ 09.05.1951	ПОСОЛЬСТВО РОССИИ В КОРЕЕ 17.07.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 25.07.2011
ВОРОНКОВ ВЛАДИМИР ИВАНОВИЧ 21.06.1953	ПОСТПРЕДСТВО РОССИИ ПРИ МО В ВЕНЕ, АВСТРИЯ 26.07.2011 	ПОСТОЯННЫЙ ПРЕДСТАВИТЕЛЬ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 17.01.2011
  ГАРМОНИН СЕРГЕЙ ВИКТОРОВИЧ 01.05.1953	ДЕПАРТАМЕНТ СПЕЦИАЛЬНОЙ СВЯЗИ 15.12.2009	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 10.02.2012
ГАТИЛОВ ГЕННАДИЙ МИХАЙЛОВИЧ 25.08.1950	 РУКОВОДСТВО 24.01.2011 	ЗАМ.МИНИСТРА ИНОСТРАННЫХ ДЕЛ РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 12.07.2010
ГЕВОРГЯН КИРИЛЛ ГОРАЦИЕВИЧ 08.04.1953	ПРАВОВОЙ ДЕПАРТАМЕНТ 01.12.2009 	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 29.08.2007
ГОЛОВИН АЛЕКСАНДР ВАСИЛЬЕВИЧ 05.12.1949	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 05.12.2009 	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 06.05.2003
ГРИНИН ВЛАДИМИР МИХАЙЛОВИЧ 15.11.1947	ПОСОЛЬСТВО РОССИИ В ФРГ 02.07.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 25.01.1999
ГРУШКО АЛЕКСАНДР ВИКТОРОВИЧ 25.04.1955	 РУКОВОДСТВО 06.09.2005 	ЗАМ.МИНИСТРА ИНОСТРАННЫХ ДЕЛ РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 12.07.2004
ДЕНИСОВ АНДРЕЙ ИВАНОВИЧ 03.10.1952	 РУКОВОДСТВО 08.04.2006 	1-Й ЗАМ.МИНИСТРА ИНОСТР.ДЕЛ РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 29.04.2003
ДУЛЬЯН АЛЕКСЕЙ ГАЙКОВИЧ 10.09.1947	ПОСОЛЬСТВО РОССИИ В МАЛИ 14.07.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 30.07.2012
ДОРОХИН ВЛАДИМИР ДМИТРИЕВИЧ 19.12.1948	ПОСОЛЬСТВО РОССИИ В АЗЕРБАЙДЖАНЕ 24.02.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 22.11.2010
