Фамилия Имя Отчество Дата рождения	Текущее подразделение 	Текущая должность	Дипранг
АГАПОВ АНАТОЛИЙ ВЛАДИМИРОВИЧ 24.04.1954	ПОСОЛЬСТВО РОССИИ В ЧЕХИИ 19.03.2009 18.03.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2004
АЗИЗОВ ИСКАНДЕР КУБАРОВИЧ 29.05.1956	ПЕРВЫЙ ДЕПАРТАМЕНТ АЗИИ 01.10.2007 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.02.2009
АЛЕКСЕЕВ КОНСТАНТИН ЮРЬЕВИЧ 02.12.1960	ПОСОЛЬСТВО РОССИИ В ИРАНЕ 18.04.2009 17.04.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 26.08.2011
АЛИФАНОВ СЕРГЕЙ ДМИТРИЕВИЧ	ДЕПАРТАМЕНТ ДИПЛОМАТИЧЕСКО-КУРЬЕРСКОЙ СВЯЗИ	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.09.2012
АЛЯУТДИНОВ РИНАТ ЖАФЯРОВИЧ 17.04.1958	ГЕНСЕКРЕТАРИАТ (ДЕПАРТАМЕНТ) 24.07.2006 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 31.07.2008
АМБАРОВ РОМАН ЕВГЕНЬЕВИЧ 26.05.1968	ПОСОЛЬСТВО РОССИИ В МАЛАЙЗИИ 27.10.2008 26.10.2011	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 15.08.2011
АНДРЕЕВ ВЛАДИМИР ВАДИМОВИЧ 24.11.1960	ГЕНКОНСУЛЬСТВО РОССИИ В СИМФЕРОПОЛЕ, УКРАИНА 31.05.2010 30.05.2013	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 25.05.2006
АНТИПОВ АЛЕКСАНДР АНАТОЛЬЕВИЧ 28.06.1947	ГЕНКОНСУЛЬСТВО РОССИИ НА О.ШПИЦБЕРГЕН, НОРВЕГИЯ 15.07.2009 27.06.2012	ГЕНКОНСУЛЬСТВО РОССИИ В 	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 26.08.2011
АРТЮХ АЛЕКСАНДР ИВАНОВИЧ 04.08.1949	ДЕПАРТАМЕНТ КАДРОВ 28.02.2011 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.11.2007
АСКАЛЬДОВИЧ ГЕННАДИЙ ИОСИФОВИЧ 12.05.1957	ПОСОЛЬСТВО РОССИИ В СЛОВАКИИ 05.03.2008 04.03.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.07.2010
